"countryn","shortnam","logpgp95","logem4","urbz1995","lpd1500s","bonly","eonly","cu1500","sjb1500","sjb1000","asia","africa","americas"
"Afghanistan","AFG",NA,4.54009819030762,19.8999996185303,2.12026357650757,9,3.25,NA,NA,4.09999990463257,1,0,0
"Angola","AGO",7.77064514160156,5.63478946685791,31,0.405465096235275,NA,NA,0.5,NA,NA,0,1,0
"Argentina","ARG",9.13345909118652,4.23265600204468,88.0999984741211,-2.21072196960449,0,0,0,0,0,0,0,0
"Australia","AUS",9.89797210693359,2.14593124389648,84.6900024414062,-3.64835691452026,0,0,0,0,0,0,0,0
"Burundi","BDI",6.56526517868042,5.63478946685791,7.5,3.21887588500977,NA,NA,NA,NA,NA,0,1,0
"Benin","BEN",7.09007692337036,5.58544921875,38.4000015258789,1.44220197200775,NA,NA,NA,NA,NA,0,1,0
"Burkina Faso","BFA",6.84588003158569,5.63478946685791,15.8999996185303,1.44220197200775,NA,NA,NA,NA,NA,0,1,0
"Bangladesh","BGD",6.87729597091675,4.26843786239624,18.2999992370605,3.16547513008118,9,2.90000009536743,NA,8.53999996185303,1.79999995231628,1,0,0
"Bahamas","BHS",9.28544807434082,4.44265127182007,86.5,0.378436475992203,NA,0,NA,NA,NA,0,0,1
"Belize","BLZ",8.37793159484863,5.09558916091919,46.5,0.431782394647598,7,18,19.6000003814697,9.19999980926514,9.5,0,0,1
"Bolivia","BOL",7.92660236358643,4.26268005371094,60.5,-0.186368882656097,12,6,NA,10.6199998855591,4.40000009536743,0,0,1
"Brazil","BRA",8.72745418548584,4.26268005371094,78.3000030517578,-2.13493657112122,0,0.100000001490116,NA,0,0,0,0,1
"Barbados","BRB",9.26672077178955,4.44265127182007,47.2999992370605,0.378436386585236,NA,0,NA,NA,NA,0,0,1
"Bhutan","BTN",NA,NA,6,NA,NA,NA,NA,NA,NA,1,0,0
"Botswana","BWA",8.85509300231934,NA,60,-1.96611285209656,NA,NA,NA,NA,NA,0,1,0
"Central African Fed.","CAF",7.19293403625488,5.63478946685791,39.0999984741211,0.405465096235275,NA,NA,NA,NA,NA,0,1,0
"Canada","CAN",9.98644924163818,2.77881932258606,76.6800003051758,-3.83091807365417,0,0,0,0,0,0,0,1
"Chile","CHL",9.33609199523926,4.23265600204468,83.9000015258789,-0.22154226899147,0,0,0,0,0,0,0,1
"Cote d'Ivoire","CIV",7.44424867630005,6.50428819656372,43.4000015258789,1.44220197200775,NA,NA,2.59999990463257,NA,NA,0,1,0
"Cameroon","CMR",7.50108194351196,5.63478946685791,44.7000007629395,0.405465096235275,NA,NA,NA,NA,NA,0,1,0
"Congo","COG",7.420578956604,5.48063898086548,58.4000015258789,0.405465096235275,NA,NA,0.5,NA,NA,0,1,0
"Colombia","COL",8.80986309051514,4.26268005371094,72.5999984741211,-0.0379699096083641,7,2,2,7.94000005722046,0,0,0,1
"Comoros","COM",7.38398933410645,NA,30.3999996185303,1.50058352947235,NA,NA,NA,NA,NA,0,1,0
"Cape Verde","CPV",7.97933912277222,NA,54.2999992370605,-0.6931471824646,NA,NA,NA,NA,NA,0,1,0
