d_pres_fav,r_pres_fav,vt_pres_2,vt_pres_4,vt_sen,vt_gov,likely,scale,partyid,sample,phoneuse,gender,educ,hisp,cuban,race,age,racer,turnout_score,turnout_class,region,rvweight,likelyyn,lvweight,file_race,file_party,file_county,file_age,state,poll,poll_id,file_vt16,file_vt14,file_vt12
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Independent (No party),Landline,Landline and Cell Phone,Female,Bachelors' degree,No,,Caucasian/White,47,Caucasian/White,0.98538,High,West,1.01369094848633,,1.00628086765289,White,Other,Beaver,47,Pennsylvania,October,Pennsylvania October,1,1,1
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,High school,No,,Caucasian/White,68,Caucasian/White,0.987917,High,Central,1.02648758888245,,1.02028606411421,Unknown,Republican,Mifflin,68,Pennsylvania,October,Pennsylvania October,1,1,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Very likely,Ten (definitely will vote),Democrat,Landline,Landline only,Female,High school,No,,Caucasian/White,80,Caucasian/White,0.979834,High,West,1.13028168678284,,1.11888505653501,White,Democratic,Westmoreland,80,Pennsylvania,October,Pennsylvania October,1,1,1
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Almost certain,Ten (definitely will vote),Democrat,Landline,Landline and Cell Phone,Female,Graduate or Professional degree,No,,Caucasian/White,56,Caucasian/White,0.74123000000000006,Middle,Southeast,1.0503556728363,,0.914455404106379,White,Democratic,Lehigh,56,Pennsylvania,October,Pennsylvania October,1,0,0
Unfavorable,Unfavorable,[DO NOT READ] Won't vote,[DO NOT READ] Won't vote,"Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Cell,Cell Phone only,Female,Some college or trade school,No,,Caucasian/White,37,Caucasian/White,0.766013,Middle,Central,0.996354699134827,,0.879787675641596,White,Republican,Centre,37,Pennsylvania,October,Pennsylvania October,1,0,0
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,Graduate or Professional degree,No,,Caucasian/White,45,Caucasian/White,0.988717,High,Philadelphia,0.617552042007446,,0.614068122162461,Unknown,Republican,Philadelphia,45,Pennsylvania,October,Pennsylvania October,1,1,1
Unfavorable,Unfavorable,[DO NOT READ] Won't vote,"Gary Johnson, the Libertarian","Pat Toomey, the Republican",,Somewhat likely,Three,Independent (No party),Cell,Cell Phone only,Female,Some college or trade school,No,,Caucasian/White,26,Caucasian/White,0.733235,Middle,Philadelphia Suburbs,1.09784018993378,,0.402487425833046,White,Republican,Chester,26,Pennsylvania,October,Pennsylvania October,1,0,0
Favorable,Unfavorable,"Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Katie McGinty, the Democrat",,Very likely,Ten (definitely will vote),Democrat,Cell,Cell Phone only,Female,Bachelors' degree,No,,Caucasian/White,27,Caucasian/White,0.976896,High,Philadelphia,0.567534625530243,,0.560978465536118,White,Democratic,Philadelphia,27,Pennsylvania,October,Pennsylvania October,0,0,0
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,Some college or trade school,No,,Caucasian/White,38,Caucasian/White,0.991204,High,Southeast,1.12852597236633,,1.12356271513987,White,Republican,Perry,38,Pennsylvania,October,Pennsylvania October,1,1,1
Unfavorable,Favorable,"Donald Trump, the Republican","Donald Trump, the Republican","Pat Toomey, the Republican",,Almost certain,Ten (definitely will vote),Republican,Landline,Landline and Cell Phone,Female,Graduate or Professional degree,Yes,,Caucasian/White,54,Hispanic/Latino,0.94808,High,Southeast,1.03105163574219,,1.00428553527832,White,Republican,Lehigh,54,Pennsylvania,October,Pennsylvania October,1,0,1
